2013 rank,City,State,2013 estimate,2010 Census,Change,2013 land area,2013 population density,Location
128,Knoxville,Tennessee,183270,178874,0.0246,98.5æsqæmi,"1,816æperæsqæmi",35.9709ÁN 83.9465ÁW
129,Worcester,Massachusetts,182544,181045,0.0083,37.4æsqæmi,"4,845æperæsqæmi",42.2695ÁN 71.8078ÁW
130,Newport News[15],Virginia,182020,180719,0.0072,68.7æsqæmi,"2,630æperæsqæmi",37.0760ÁN 76.5217ÁW
131,Brownsville,Texas,181860,175023,0.0391,132.3æsqæmi,"1,323æperæsqæmi",26.0183ÁN 97.4538ÁW
132,Overland Park,Kansas,181260,173372,0.0455,74.8æsqæmi,"2,317æperæsqæmi",38.8890ÁN 94.6906ÁW
133,Santa Clarita,California,179590,176320,0.0185,52.7æsqæmi,"3,345æperæsqæmi",34.4049ÁN 118.5047ÁW
134,Providence,Rhode Island,177994,178042,0.0003,18.4æsqæmi,"9,676æperæsqæmi",41.8231ÁN 71.4188ÁW
135,Garden Grove,California,175140,170883,0.0249,17.9æsqæmi,"9,525æperæsqæmi",33.7788ÁN 117.9605ÁW
136,Chattanooga,Tennessee,173366,167674,0.0339,137.2æsqæmi,"1,223æperæsqæmi",35.0665ÁN 85.2471ÁW
137,Oceanside,California,172794,167086,0.0342,41.2æsqæmi,"4,052æperæsqæmi",33.2246ÁN 117.3062ÁW
138,Jackson,Mississippi,172638,173514,-0.005,111.0æsqæmi,"1,563æperæsqæmi",32.3158ÁN 90.2128ÁW
139,Fort Lauderdale,Florida,172389,165521,0.0415,34.8æsqæmi,"4,761æperæsqæmi",26.1413ÁN 80.1439ÁW
140,Santa Rosa,California,171990,167815,0.0249,41.3æsqæmi,"4,064æperæsqæmi",38.4468ÁN 122.7061ÁW
141,Rancho Cucamonga,California,171386,165269,0.037,39.9æsqæmi,"4,147æperæsqæmi",34.1233ÁN 117.5642ÁW
