"X2013.rank","City","State","X2013estimate","X2010Census","Change","X2013landarea","X2013populationdensity","Location","lat","lon"
"101","Birmingham","Alabama",212113,212237,"_0.06%",1461,1453,"33.5274¡N 86.7990¡W",335274,-867990
"102","Spokane","Washington",210721,208916,"0.0086",592,3526,"47.6736¡N 117.4166¡W",476736,-1174166
"103","Rochester","New York",210358,210565,"-0.001",358,5885,"43.1699¡N 77.6169¡W",431699,-776169
"104","DesMoines","Iowa",207510,203433,"0.02",809,2516,"41.5739¡N 93.6167¡W",415739,-936167
"105","Modesto","California",204933,201165,"0.0187",369,5456,"37.6609¡N 120.9891¡W",376609,-1209891
"106","Fayetteville","North Carolina",204408,200564,"0.0192",1458,1375,"35.0851¡N 78.9803¡W",350851,-789803
"107","Tacoma","Washington",203446,198397,"0.0254",497,3990,"47.2522¡N 122.4598¡W",472522,-1224598
"108","Oxnard","California",203007,197899,"0.0258",269,7358,"34.2023¡N 119.2046¡W",342023,-1192046
"109","Fontana","California",203003,196069,"0.0354",424,4621,"34.1088¡N 117.4627¡W",341088,-1174627
"110","Columbus","Georgia",202824,189885,"0.0681",2164,878,"32.5102¡N 84.8749¡W",325102,-848749
"111","Montgomery","Alabama",201332,205764,"-0.0215",1596,1290,"32.3463¡N 86.2686¡W",323463,-862686
"112","MorenoValley","California",201175,193365,"0.0404",513,3771,"33.9233¡N 117.2057¡W",339233,-1172057
"113","Shreveport","Louisiana",200327,199311,"0.0051",1054,1891,"32.4670¡N 93.7927¡W",324670,-937927
"114","Aurora","Illinois",199963,197899,"0.0104",449,4404,"41.7635¡N 88.2901¡W",417635,-882901
"115","Yonkers","New York",199766,195976,"0.0193",180,10880,"40.9459¡N 73.8674¡W",409459,-738674
"116","Akron","Ohio",198100,199110,"_0.51%",620,3210,"41.0805¡N 81.5214¡W",410805,-815214
"117","HuntingtonBeach","California",197575,189992,"0.0399",267,7103,"33.6906¡N 118.0093¡W",336906,-1180093
"118","LittleRock","Arkansas",197357,193524,"0.0198",1192,1624,"34.7254¡N 92.3586¡W",347254,-923586
"119","Augusta","Georgia",197350,195844,"0.0077",3025,647,"33.3655¡N 82.0734¡W",333655,-820734
"120","Amarillo","Texas",196429,190695,"0.0301",995,1917,"35.1978¡N 101.8287¡W",351978,-1018287
"121","Glendale","California",196021,191719,"0.0224",305,6295,"34.1814¡N 118.2458¡W",341814,-1182458
"122","Mobile","Alabama",194899,195111,"_0.11%",1391,1403,"30.6684¡N 88.1002¡W",306684,-881002
"123","GrandRapids","Michigan",192294,188040,"0.0226",444,4236,"42.9612¡N 85.6556¡W",429612,-856556
"124","SaltLakeCity","Utah",191180,186440,"0.0254",1111,1678,"40.7785¡N 111.9314¡W",407785,-1119314
"125","Tallahassee","Florida",186411,181376,"0.0278",1002,1809,"30.4551¡N 84.2534¡W",304551,-842534
"126","Huntsville","Alabama",186254,180105,"0.0341",2091,862,"34.7843¡N 86.5390¡W",347843,-865390
"127","GrandPrairie","Texas",183372,175396,"0.0455",721,2433,"32.6842¡N 97.0210¡W",326842,-970210
"128","Knoxville","Tennessee",183270,178874,"0.0246",985,1816,"35.9709¡N 83.9465¡W",359709,-839465
"129","Worcester","Massachusetts",182544,181045,"0.0083",374,4845,"42.2695¡N 71.8078¡W",422695,-718078
"130","NewportNews","Virginia",182020,180719,"0.0072",687,2630,"37.0760¡N 76.5217¡W",370760,-765217
"131","Brownsville","Texas",181860,175023,"0.0391",1323,1323,"26.0183¡N 97.4538¡W",260183,-974538
"132","OverlandPark","Kansas",181260,173372,"0.0455",748,2317,"38.8890¡N 94.6906¡W",388890,-946906
"133","SantaClarita","California",179590,176320,"0.0185",527,3345,"34.4049¡N 118.5047¡W",344049,-1185047
"134","Providence","Rhode Island",177994,178042,"0.0003",184,9676,"41.8231¡N 71.4188¡W",418231,-714188
"135","GardenGrove","California",175140,170883,"0.0249",179,9525,"33.7788¡N 117.9605¡W",337788,-1179605
"136","Chattanooga","Tennessee",173366,167674,"0.0339",1372,1223,"35.0665¡N 85.2471¡W",350665,-852471
"137","Oceanside","California",172794,167086,"0.0342",412,4052,"33.2246¡N 117.3062¡W",332246,-1173062
"138","Jackson","Mississippi",172638,173514,"-0.005",1110,1563,"32.3158¡N 90.2128¡W",323158,-902128
"139","FortLauderdale","Florida",172389,165521,"0.0415",348,4761,"26.1413¡N 80.1439¡W",261413,-801439
"140","SantaRosa","California",171990,167815,"0.0249",413,4064,"38.4468¡N 122.7061¡W",384468,-1227061
"141","RanchoCucamonga","California",171386,165269,"0.037",399,4147,"34.1233¡N 117.5642¡W",341233,-1175642
"142","PortStLucie","Florida",171016,164603,"0.039",1140,1444,"27.2810¡N 80.3838¡W",272810,-803838
"143","Tempe","Arizona",168228,161719,"0.0402",399,4050,"33.3884¡N 111.9318¡W",333884,-1119318
"144","Ontario","California",167500,163924,"0.0218",499,3282,"34.0395¡N 117.6088¡W",340395,-1176088
"145","Vancouver","Washington",167405,161791,"0.0347",465,3483,"45.6372¡N 122.5965¡W",456372,-1225965
"146","CapeCoral","Florida",165831,154305,"0.0747",1057,1460,"26.6431¡N 81.9973¡W",266431,-819973
"147","SiouxFalls","South Dakota",164676,153888,"0.0701",730,2109,"43.5383¡N 96.7320¡W",435383,-967320
"148","Springfield","Missouri",164122,159498,"0.029",817,1952,"37.1942¡N 93.2913¡W",371942,-932913
"149","Peoria","Arizona",162592,154065,"0.0553",1744,883,"33.7877¡N 112.3111¡W",337877,-1123111
"150","PembrokePines","Florida",162329,154019,"0.054",331,4672,"26.0212¡N 80.3404¡W",260212,-803404
"151","ElkGrove","California",161007,153015,"0.0522",422,3627,"38.4144¡N 121.3849¡W",384144,-1213849
"152","Salem","Oregon",160614,154637,"0.0387",479,3229,"44.9237¡N 123.0231¡W",449237,-1230231
"153","Lancaster","California",159523,156633,"0.0185",943,1661,"34.6936¡N 118.1753¡W",346936,-1181753
"154","Corona","California",159503,152374,"0.0468",388,3925,"33.8624¡N 117.5639¡W",338624,-1175639
"155","Eugene","Oregon",159190,156185,"0.0192",437,3572,"44.0567¡N 123.1162¡W",440567,-1231162
"156","Palmdale","California",157161,152750,"0.0289",1060,1442,"34.5913¡N 118.1090¡W",345913,-1181090
"157","Salinas","California",155662,150441,"0.0347",232,6490,"36.6902¡N 121.6337¡W",366902,-1216337
"158","Springfield","Massachusetts",153703,153060,"0.0042",319,4803,"42.1155¡N 72.5400¡W",421155,-725400
"159","Pasadena","Texas",152735,149043,"0.0248",428,3485,"29.6583¡N 95.1505¡W",296583,-951505
"160","FortCollins","Colorado",152061,143986,"0.0561",543,2653,"40.5482¡N 105.0648¡W",405482,-1050648
"161","Hayward","California",151574,144186,"0.0512",453,3181,"37.6281¡N 122.1063¡W",376281,-1221063
"162","Pomona","California",151348,149058,"0.0154",230,6494,"34.0586¡N 117.7613¡W",340586,-1177613
"163","Cary","North Carolina",151088,135234,"0.1172",543,2488,"35.7821¡N 78.8141¡W",357821,-788141
"164","Rockford","Illinois",150251,152871,"-0.0171",611,2503,"42.2634¡N 89.0628¡W",422634,-890628
"165","Alexandria","Virginia",148892,139966,"0.0638",150,9314,"38.8183¡N 77.0820¡W",388183,-770820
"166","Escondido","California",148738,143911,"0.0335",368,3909,"33.1336¡N 117.0732¡W",331336,-1170732
"167","McKinney","Texas",148559,131117,"0.133",622,2108,"33.2012¡N 96.6680¡W",332012,-966680
"168","KansasCity","Kansas",148483,145786,"0.0185",1248,1168,"39.1225¡N 94.7418¡W",391225,-947418
"169","Joliet","Illinois",147806,147433,"0.0025",621,2374,"41.5181¡N 88.1584¡W",415181,-881584
"170","Sunnyvale","California",147559,140081,"0.0534",220,6371,"37.3858¡N 122.0263¡W",373858,-1220263
"171","Torrance","California",147478,145438,"0.014",205,7102,"33.8350¡N 118.3414¡W",338350,-1183414
